id,created_at,channel,subject,body,customer_email,first_response_at,resolved_at,satisfaction_score
241116,2026-06-02T17:49:13Z,chat,Can't log in,"Can't log in since the site update. I've tried gwen.nguyen688@icloud.com and my older gwenn38@outlook.com — neither takes the reset.

Sincerely,
Gwen",gwen.nguyen688@icloud.com,2026-06-02T22:39:13Z,2026-06-03T09:31:13Z,
241119,2026-06-02T17:58:57Z,email,Pregnancy safe?,"Good morning, I'm pregnant — is the Renewal Serum safe for pregnancy? Want to check before I order. I'm at emma.reed597@hotmail.com if you need me.

Regards,
Emma Reed",emma.reed597@hotmail.com,2026-06-03T00:57:57Z,2026-06-03T14:34:57Z,5
241125,2026-06-02T21:25:24Z,chat,"First order, no news — #VB-57614","Hi there, First time ordering from you — is there any tracking yet for #VB-57614? The receipt came through but nothing since. It was placed with rosa.ferris87@proton.me. My cell is (617) 555-0115.

Sincerely,
Rosa",rosa.ferris87@proton.me,2026-06-03T03:05:24Z,2026-06-03T07:07:24Z,
241128,2026-06-02T22:12:19Z,email,Tracking not updating,"Good morning, The tracking link for #VB-35664 has said the same thing since Tuesday. Is it actually on the way? You can reach me at riley.rhodes343@outlook.com.

Regards,
Riley Rhodes",riley.rhodes343@outlook.com,2026-06-03T03:07:19Z,2026-06-03T12:18:19Z,4
241133,2026-06-02T22:56:37Z,email,Charged twice — #VB-47587,"Good afternoon, I was charged twice for #VB-47587 — $38 and then $38 again a minute later. Please refund the duplicate. It was bought on a discount, so the math might be odd on your end. Everything's under blake.marsh327@proton.me.

Sincerely,
Blake",blake.marsh327@proton.me,2026-06-03T06:17:37Z,2026-06-03T21:32:37Z,4
241138,2026-06-03T07:05:17Z,email,Press request,"Hi there, I'm writing a piece on independent skincare brands for a regional magazine — could someone chat for 20 minutes this week?",lucy.alvarez492@gmail.com,2026-06-03T11:21:17Z,2026-06-03T23:05:17Z,3
241147,2026-06-03T07:30:54Z,email,First order code?,Is there a first order code? Saw one mentioned in your newsletter but can't find it anywhere. I'm at willa.bishop250@proton.me if you need me.,willa.bishop250@proton.me,2026-06-03T14:22:54Z,2026-06-03T19:12:54Z,4
241151,2026-06-03T10:43:32Z,email,Package not moving,"My order #VB-78063 hasn't moved since last Friday — the tracking is frozen. I keep refreshing and nothing changes. It should be coming to 166 Maple Street, Tucson. It was placed with ivy.moreau766@hotmail.com. I'm reachable at (904) 555-0188 most afternoons.

Best,
Ivy Moreau",ivy.moreau766@hotmail.com,2026-06-03T12:55:32Z,2026-06-03T14:25:32Z,4
241153,2026-06-03T12:12:32Z,chat,Pump died,"Good afternoon, 12 days in and the pump on my Renewal Serum just stopped working. There's clearly product left — I can hear it slosh. #VB-39828. Would love a replacement, or a refund failing that. It was placed with keisha.brooks187@proton.me.

Regards,
Keisha Brooks",keisha.brooks187@proton.me,2026-06-03T14:10:32Z,2026-06-03T18:54:32Z,1
241155,2026-06-03T12:56:08Z,email,Moving soon,"Hi there, Moving on the 3th — can you change my address to 938 Sycamore Way, Asheville? Old one: 483 Chestnut Street, Plano. The order's under amelia.hartley957@hotmail.com. Call or text me at (718) 555-0114 if that's easier. The order ref is #VB-54872.

Sincerely,
Amelia",amelia.hartley957@hotmail.com,2026-06-03T18:44:08Z,2026-06-03T23:38:08Z,1
241164,2026-06-03T13:02:54Z,email,Which shade?,"Hi there, I'm fair with cool undertones — which shade of the Tinted Mineral SPF should I go for? You can reach me at derek.ramsey644@yahoo.com.",derek.ramsey644@yahoo.com,2026-06-03T16:06:54Z,2026-06-03T22:02:54Z,2
241168,2026-06-03T13:12:06Z,email,Layering question,"Good morning, Can I use it with vitamin C in the morning? Wondering how the Barrier Cream ingredients play with it. You can reach me at avery.whitfield832@outlook.com.",avery.whitfield832@outlook.com,2026-06-03T17:27:06Z,2026-06-04T01:48:06Z,
241172,2026-06-03T13:14:31Z,chat,"First order, no news","First time ordering from you — is there any tracking yet for #VB-21984? The receipt came through but nothing since. It was placed with maya.holloway679@outlook.com.

Cheers,
Maya",maya.holloway679@outlook.com,2026-06-03T15:12:31Z,2026-06-03T16:38:31Z,
241177,2026-06-03T13:25:33Z,email,Wrong address on file,"Good afternoon, The address on file is wrong — it should be 61 Bluebell Lane, Madison, not 70 Chestnut Street, Madison. Can you update my address before anything else goes out? If it's already boxed up, cancel the order and I'll re-place it. I'm at chloe.whitfield133@hotmail.com if you need me. That's order #VB-52260.

Best,
Chloe Whitfield",chloe.whitfield133@hotmail.com,2026-06-03T18:42:33Z,2026-06-03T23:19:33Z,
241186,2026-06-03T13:29:13Z,email,Cutting it close,"When will it arrive? I bought the Hydra Cleanser for a trip on the 14th and I'm getting nervous. #VB-44903. I'm at ivy.moreau505@icloud.com if you need me.

Best,
Ivy Moreau",ivy.moreau505@icloud.com,2026-06-03T19:01:13Z,2026-06-03T22:59:13Z,5
241193,2026-06-03T13:34:53Z,email,Stacking up,"Hi there, Loving the Marine Collagen Capsules, but it's stacking up on my shelf. Can we pause the subscription for a cycle? It was placed with elena.vega637@yahoo.com. That's order #VB-56584.

Sincerely,
Elena",elena.vega637@yahoo.com,2026-06-03T17:19:53Z,2026-06-03T22:52:53Z,
241196,2026-06-03T14:22:50Z,email,Skip my July box,"Can I skip my July Ashwagandha Softgels box? I still have most of this one left. The order's under sierra.dupont501@icloud.com. The order ref is #VB-63097.

Cheers,
Sierra",sierra.dupont501@icloud.com,2026-06-03T19:18:50Z,2026-06-04T02:46:50Z,2
241200,2026-06-03T14:54:13Z,email,Cutting it close,"Good morning, When will it arrive? I bought the Barrier Cream for a trip on the 8th and I'm getting nervous. #VB-42721. It was placed with riley.holloway231@outlook.com. I'm reachable at (213) 555-0124 most afternoons.",riley.holloway231@outlook.com,2026-06-03T19:34:13Z,2026-06-04T06:24:13Z,5
241206,2026-06-03T16:12:08Z,email,Serum won't come out,"Good afternoon, The Renewal Serum pump has stopped dispensing entirely — it springs back with nothing. I've tried rinsing the top. #VB-10656. Can I exchange it for a fresh bottle? Everything's under emma.vega319@outlook.com.

Sincerely,
Emma",emma.vega319@outlook.com,2026-06-03T17:57:08Z,2026-06-03T22:06:08Z,
241210,2026-06-03T16:38:48Z,chat,Too heavy for me,"The Overnight Repair Mask smells lovely but sits heavy on me. I'd like to return it for store credit if that's an option. #VB-23281. A refund to the original card would be ideal. I'm at priya.tanaka794@yahoo.com if you need me.

Best,
Priya Tanaka",priya.tanaka794@yahoo.com,2026-06-04T01:34:48Z,2026-06-04T22:56:48Z,
241212,2026-06-03T16:54:06Z,email,Pause for two months,"I'm traveling for work — please pause my subscription until August. Last time this happened you had to refund me — let's skip that part. I'm at layla.ramsey387@icloud.com if you need me.

Thanks,
Layla",layla.ramsey387@icloud.com,2026-06-04T02:38:06Z,2026-06-04T16:48:06Z,2
241216,2026-06-03T17:54:19Z,chat,Delete my account,"Good afternoon, Please delete my account — it's registered under elenan34@yahoo.com; you can confirm with me at elena.nguyen406@icloud.com.

Cheers,
Elena",elena.nguyen406@icloud.com,2026-06-03T21:27:19Z,2026-06-04T05:24:19Z,4
241218,2026-06-03T19:26:33Z,sms,Order overdue,"Hasn't arrived yet — I ordered the Vitamin C Drops June 10 and the estimate said by June 21. #VB-34897. Everything's under selena.ferris651@hotmail.com.

Best,
Selena Ferris",selena.ferris651@hotmail.com,2026-06-04T00:51:33Z,2026-06-04T04:44:33Z,2
241221,2026-06-03T19:38:05Z,email,Between two shades,"Good morning, Which shade should I pick if I'm between Fair and Honey Tan? First time buying from you. You can reach me at brooke.cruz729@proton.me.

Sincerely,
Brooke",brooke.cruz729@proton.me,2026-06-03T21:58:05Z,2026-06-04T02:32:05Z,
241223,2026-06-03T19:40:44Z,email,Charged twice,"Good morning, I was charged twice for #VB-63922 — $58 and then $58 again a minute later. Please refund the duplicate. It was bought on a discount, so the math might be odd on your end. The order's under tyler.silva535@yahoo.com.

Sincerely,
Tyler",tyler.silva535@yahoo.com,2026-06-04T02:12:44Z,2026-06-04T15:34:44Z,
241228,2026-06-03T22:10:57Z,email,Best value bundle,"Good afternoon, Which bundle would you recommend for combination skin on a budget — the Daily Glow set or something smaller? You can reach me at omar.doyle344@gmail.com.",omar.doyle344@gmail.com,2026-06-04T07:17:57Z,2026-06-05T00:58:57Z,5
241233,2026-06-03T22:25:30Z,chat,Cutting it close,"When will it arrive? I bought the Hydra Cleanser for a trip on the 19th and I'm getting nervous. #VB-23423. It was placed with tara.ibrahim851@proton.me.

Sincerely,
Tara",tara.ibrahim851@proton.me,2026-06-04T04:31:30Z,2026-06-04T08:55:30Z,2
241238,2026-06-04T11:55:33Z,email,Skin + supplements together,"Good afternoon, Do the supplements come in a bundle with the skincare? Trying to simplify before I buy. You can reach me at jade.holloway855@yahoo.com.",jade.holloway855@yahoo.com,2026-06-04T19:38:33Z,2026-06-05T10:43:33Z,5
241245,2026-06-04T12:37:24Z,sms,Stuck at the hub — #VB-33595,"#VB-33595 has been sitting at the Denver hub for 9 days now. Is it stuck in transit for good, or should I wait it out? I'm at noah.foster423@yahoo.com if you need me.

Thanks,
Noah",noah.foster423@yahoo.com,2026-06-04T14:58:24Z,2026-06-04T22:13:24Z,
241247,2026-06-04T15:51:33Z,email,Shade advice,"Torn between Golden Medium and Light Beige. I tan easily in summer — which shade works better year-round? You can reach me at daniel.ellison816@proton.me.

Best,
Daniel Ellison",daniel.ellison816@proton.me,2026-06-04T19:03:33Z,2026-06-05T01:15:33Z,
241256,2026-06-04T16:12:12Z,chat,Cutting it close — #VB-80163,"When will it arrive? I bought the Renewal Serum for a trip on the 9th and I'm getting nervous. #VB-80163. I'm at felix.tanaka160@icloud.com if you need me.

Best,
Felix Tanaka",felix.tanaka160@icloud.com,2026-06-04T21:41:12Z,2026-06-05T01:36:12Z,
241258,2026-06-04T17:41:39Z,chat,Sensitive skin check,"Hi there, Is it safe for reactive, rosacea-prone skin? Asking about the Tinted Mineral SPF ingredient list before I commit. I'm at sierra.ramsey888@hotmail.com if you need me.

Thanks,
Sierra",sierra.ramsey888@hotmail.com,2026-06-04T21:42:39Z,2026-06-05T05:35:39Z,3
241261,2026-06-04T17:56:58Z,email,"First order, no news — #VB-69547","First time ordering from you — is there any tracking yet for #VB-69547? The receipt came through but nothing since. It was placed with riley.chen247@hotmail.com.

Cheers,
Riley",riley.chen247@hotmail.com,2026-06-04T22:52:58Z,2026-06-05T08:50:58Z,5
241266,2026-06-04T18:36:00Z,email,Went to the wrong house,"The carrier photo shows a porch that isn't mine. #VB-13870. Can you help me figure out where it went? At this point a refund might be simpler than a reship. The order's under aurora.vega565@outlook.com.

Best,
Aurora Vega",aurora.vega565@outlook.com,2026-06-05T03:17:00Z,2026-06-06T05:36:00Z,
241267,2026-06-04T20:37:34Z,email,Still waiting — #VB-31340,"Still waiting for my order — #VB-31340, placed June 11. Any idea when it goes out? The box is going to 271 Dogwood Drive, Denver. Everything's under brooke.larsen300@outlook.com.

Sincerely,
Brooke",brooke.larsen300@outlook.com,2026-06-05T01:52:34Z,2026-06-05T05:31:34Z,2
241276,2026-06-04T22:11:55Z,chat,Affiliate terms,"What are the affiliate terms — flat fee or rev share? Want to pitch you to my book club, of all things. I'm at jordan.holloway656@proton.me if you need me.",jordan.holloway656@proton.me,2026-06-05T09:09:55Z,2026-06-06T15:59:55Z,5
241282,2026-06-04T22:17:59Z,email,Fragrance?,"Good morning, Does the Overnight Repair Mask ingredient list include fragrance? My skin flares at almost anything scented. I'm at omar.silva661@gmail.com if you need me.",omar.silva661@gmail.com,2026-06-05T03:42:59Z,2026-06-05T14:17:59Z,5
241287,2026-06-04T22:43:38Z,chat,Where is my order? — #VB-17471,"Good afternoon, I ordered the Niacinamide Toner 6 days ago and #VB-17471 still shows just a label. Where is my order? The box is going to 213 Maple Street, Providence. You can reach me at naomi.nguyen816@gmail.com.

Cheers,
Naomi",naomi.nguyen816@gmail.com,2026-06-05T04:46:38Z,2026-06-05T09:01:38Z,
241295,2026-06-05T07:28:42Z,email,Skip didn't save (again),"This is my third message about the same thing — please just pause my Biotin+ Gummies subscription until August and confirm by reply. Last time this happened you had to refund me — let's skip that part. I'm at selena.winslow70@hotmail.com if you need me. I'm reachable at (718) 555-0158 most afternoons. For reference: #VB-39891.

Regards,
Selena Winslow",selena.winslow70@hotmail.com,2026-06-05T16:20:42Z,2026-06-06T05:28:42Z,1
241297,2026-06-05T07:31:41Z,sms,Skip my July box,"Can I skip my July Renewal Serum box? I still have most of this one left. Everything's under ellie.cole479@yahoo.com. For reference: #VB-81029.

Cheers,
Ellie",ellie.cole479@yahoo.com,2026-06-05T13:40:41Z,2026-06-05T22:43:41Z,1
241300,2026-06-05T08:35:52Z,chat,Find you locally?,"Hi there, Is there anywhere in Providence that carries the line? My sister wants to smell everything first.",keisha.ramsey181@gmail.com,2026-06-05T14:28:52Z,2026-06-06T07:41:52Z,5
241302,2026-06-05T09:18:14Z,email,Didn't work out,"Sadly the Rosewater Mist broke me out. Can I return the rest of the set? #VB-13997. A refund to the original card would be ideal. Pickup would be from 606 Bluebell Lane, Ann Arbor. The order's under hazel.mercer204@gmail.com.

Cheers,
Hazel",hazel.mercer204@gmail.com,2026-06-05T13:38:14Z,2026-06-06T00:06:14Z,2
241304,2026-06-05T10:16:32Z,email,Package not moving,"Hi there, My order #VB-69247 hasn't moved since last Thursday — the tracking is frozen. I keep refreshing and nothing changes. Everything's under derek.vega270@hotmail.com.

Regards,
Derek Vega",derek.vega270@hotmail.com,2026-06-05T13:32:32Z,2026-06-05T15:52:32Z,3
241311,2026-06-05T10:48:32Z,email,Can't log in,"Hi there, Can't log in since the site update. I've tried selena.hartley887@hotmail.com and my older selenah75@hotmail.com — neither takes the reset.

Regards,
Selena Hartley",selena.hartley887@hotmail.com,2026-06-05T15:14:32Z,2026-06-06T01:00:32Z,5
241315,2026-06-05T11:07:52Z,chat,Gummies melted,"Good afternoon, My Biotin+ Gummies fused into one solid blob — I think they melted in the truck. #VB-24398. The order's under nora.kim112@hotmail.com. Call or text me at (718) 555-0144 if that's easier.

Regards,
Nora Kim",nora.kim112@hotmail.com,2026-06-05T18:02:52Z,2026-06-06T10:43:52Z,
241316,2026-06-05T11:56:29Z,chat,Swap for the lighter one,"Would love to exchange my Tinted Mineral SPF for the lighter one — used it once. #VB-60280. I'm at lucy.sutton109@gmail.com if you need me.

Cheers,
Lucy",lucy.sutton109@gmail.com,2026-06-05T18:11:29Z,2026-06-06T09:08:29Z,
241324,2026-06-05T12:49:59Z,email,Ordered a duplicate,"Ordered two of the Biotin+ Gummies by mistake — can I send it back? What's the return process? #VB-38503. The order's under kevin.bennett852@icloud.com.

Thanks,
Kevin",kevin.bennett852@icloud.com,2026-06-05T20:05:59Z,2026-06-06T13:25:59Z,
241329,2026-06-05T13:28:16Z,email,Too deep for me?,Haven't bought anything yet — is Light Beige too deep if I'm olive-skinned? Happy to be shade-matched before I buy. You can reach me at brooke.bennett954@yahoo.com.,brooke.bennett954@yahoo.com,2026-06-05T16:05:16Z,2026-06-05T21:04:16Z,5
241334,2026-06-05T13:44:52Z,email,Where's my refund?,"You approved my refund for #VB-15205 on June 7 and it still hasn't landed on my card. Can you check? It was placed with elena.hayes126@gmail.com.

Best,
Elena Hayes",elena.hayes126@gmail.com,2026-06-05T19:27:52Z,2026-06-06T06:56:52Z,5
241343,2026-06-05T14:07:44Z,email,"Marked as delivered, nothing here — #VB-75191","Good morning, #VB-75191 shows marked as delivered on Monday, but there's nothing at my door, the mailroom, or with neighbors. At this point a refund might be simpler than a reship. You can reach me at ruby.nowak773@yahoo.com. Call or text me at (512) 555-0139 if that's easier.

Sincerely,
Ruby",ruby.nowak773@yahoo.com,2026-06-05T19:08:44Z,2026-06-06T10:43:44Z,1
241345,2026-06-05T14:31:35Z,email,First order code?,"Good morning, Is there a first order code? Saw one mentioned in your newsletter but can't find it anywhere. Deciding before I buy — the price is the deciding vote. The order's under evelyn.romano427@hotmail.com.

Regards,
Evelyn Romano",evelyn.romano427@hotmail.com,2026-06-05T21:00:35Z,2026-06-06T01:31:35Z,2
241351,2026-06-05T14:35:10Z,email,Order overdue,"Hasn't arrived yet — I ordered the Rosewater Mist June 14 and the estimate said by June 17. #VB-68356. The order's under ivy.ferris392@proton.me. Call or text me at (312) 555-0108 if that's easier.

Regards,
Ivy Ferris",ivy.ferris392@proton.me,2026-06-05T19:20:10Z,2026-06-06T03:47:10Z,
241352,2026-06-05T15:26:53Z,email,Refund request — #VB-26988,"Good morning, Please refund #VB-26988. I changed my mind the same morning and it hasn't gone out yet. I'm at marcus.nowak188@hotmail.com if you need me.

Regards,
Marcus Nowak",marcus.nowak188@hotmail.com,2026-06-05T21:18:53Z,2026-06-06T09:14:53Z,2
241360,2026-06-05T15:34:43Z,email,Between two shades,"Which shade should I pick if I'm between Light Beige and Honey Tan? First time buying from you. You can reach me at leah.doyle870@yahoo.com.

Best,
Leah Doyle",leah.doyle870@yahoo.com,2026-06-05T19:12:43Z,2026-06-06T02:16:43Z,
241364,2026-06-05T17:07:02Z,email,Skip didn't save (again),"This is my third message about the same thing — please just pause my Ashwagandha Softgels subscription until August and confirm by reply. The order's under hana.hayes294@gmail.com.

Sincerely,
Hana",hana.hayes294@gmail.com,2026-06-05T20:11:02Z,2026-06-06T00:43:02Z,5
241368,2026-06-05T17:08:30Z,chat,Skin + supplements together,"Good morning, Do the supplements come in a bundle with the skincare? Trying to simplify before I buy. You can reach me at selena.tanaka730@yahoo.com.",selena.tanaka730@yahoo.com,2026-06-06T00:41:30Z,2026-06-06T15:20:30Z,5
241376,2026-06-05T18:49:46Z,chat,Skin + supplements together,"Good morning, Do the supplements come in a bundle with the skincare? Trying to simplify before I buy. You can reach me at liam.nguyen710@outlook.com.",liam.nguyen710@outlook.com,2026-06-06T04:18:46Z,2026-06-06T22:43:46Z,
241378,2026-06-05T20:19:02Z,email,Package not moving — #VB-27721,"Hi there, My order #VB-27721 hasn't moved since last Friday — the tracking is frozen. I keep refreshing and nothing changes. The box is going to 587 Oak Lane, Boise. You can reach me at ruby.ibrahim153@yahoo.com. My cell is (617) 555-0185.

Cheers,
Ruby",ruby.ibrahim153@yahoo.com,2026-06-05T23:08:02Z,2026-06-06T01:07:02Z,1
241385,2026-06-05T20:20:12Z,sms,Fragrance?,"Hi there, Does the Overnight Repair Mask ingredient list include fragrance? My skin flares at almost anything scented. I'm at sierra.marsh222@yahoo.com if you need me.",sierra.marsh222@yahoo.com,2026-06-06T01:03:12Z,2026-06-06T10:20:12Z,5
241389,2026-06-05T21:30:51Z,instagram,Code didn't apply,"Hi there, My promo code VERA20 didn't apply at checkout — the total stayed the same. Can you help? Everything's under ethan.ellison465@outlook.com.",ethan.ellison465@outlook.com,2026-06-06T00:37:51Z,2026-06-06T02:54:51Z,5
241397,2026-06-05T21:38:38Z,email,Locked out,"I'm locked out of my account — the password reset goes to kevinm78@outlook.com but I only use kevin.mercer431@proton.me now. Can you point it at the right one?

Cheers,
Kevin",kevin.mercer431@proton.me,2026-06-06T07:16:38Z,2026-06-07T05:44:38Z,2
241402,2026-06-06T08:44:11Z,email,Package not moving — #VB-54402,"My order #VB-54402 hasn't moved since last Thursday — the tracking is frozen. I keep refreshing and nothing changes. The box is going to 311 Cedar Avenue, Austin. It was placed with yuki.holloway960@proton.me. Call or text me at (404) 555-0190 if that's easier.",yuki.holloway960@proton.me,2026-06-06T15:57:11Z,2026-06-06T21:08:11Z,
241411,2026-06-06T09:14:08Z,email,Skip one month?,How do I skip my next box for just one month? I don't want out — just a breather until July. It was placed with layla.brooks366@gmail.com. For reference: #VB-50871.,layla.brooks366@gmail.com,2026-06-06T17:10:08Z,2026-06-07T04:44:08Z,
241419,2026-06-06T10:58:36Z,email,Skip + new inbox,"My subscription is under andreo55@yahoo.com but I've switched over to andre.okafor654@gmail.com — can you make sure the skip I asked for landed on the right one?

Sincerely,
Andre",andre.okafor654@gmail.com,2026-06-06T20:28:36Z,2026-06-07T10:16:36Z,4
241420,2026-06-06T11:39:24Z,email,Refused the package,"I refused the box at the door — please refund #VB-57173 once it makes its way back to you. It was placed with ivy.marsh181@gmail.com.

Regards,
Ivy Marsh",ivy.marsh181@gmail.com,2026-06-06T19:42:24Z,2026-06-07T11:51:24Z,3
241428,2026-06-06T12:11:57Z,chat,Retinol question,"Hi there, Is the Niacinamide Toner safe to use with retinol? I alternate nights. You can reach me at harper.patel300@hotmail.com.",harper.patel300@hotmail.com,2026-06-06T19:33:57Z,2026-06-07T09:59:57Z,2
